id,type,sku,name,productCategory,productImage,sizes,colors,stock,instock,description,discountedPrice,price,discount,newLaunch,templateKey,productDetails,materialName,sleeves,neckType,fabricType,packaging,washCare,ocassions,waistBand,fit
68,variable,DW20LC13BK,Block Print Front Open Cotton Skirt Top-Black,girls,productimages/DW20LC13BK-3.JPG,"8-(3-6 Months),10-(6-12 Months),12-(1-2 Years),15-(2-3 Years),18-(3-4 Years),21-(4-5 Years),24-(5-6 Years)",black,1,TRUE,Block Print Front Open Cotton Skirt Top-Black,45,60,,TRUE,products-page,Bownbee Half Sleeves Block Print Front Open Choli With Ghagra - Blue,Cotton,Half sleeves,Round Neck,Woven,Single,Dryclean,Sibling,Elastic,Regular
26,variable,DW20DK18GR,Front Open Cotton Full Sleeve Kurta with Dhoti- Green,boys,productimages/DW20DK18GR-3.JPG,"14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years)",green,1,TRUE,Front Open Cotton Full Sleeve Kurta with Dhoti- Green,45,60,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Leheriya Dhoti - Green,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
65,variable,DW20LC13GR,Block Print Front Open Cotton Skirt Top-Green,girls,productimages/DW20LC13GR-2.JPG,"8-(3-6 Months),10-(6-12 Months),12-(1-2 Years),15-(2-3 Years),18-(3-4 Years),21-(4-5 Years),24-(5-6 Years)",green,1,TRUE,Block Print Front Open Cotton Skirt Top-Green,45,60,,TRUE,products-page,Bownbee Half Sleeves Block Print Choli With Leheriya Ghagra - Blue,Cotton,Half sleeves,Round Neck,Woven,Single,Dryclean,Sibling,Elastic,Regular
27,variable,DW20DK18YW,Front Open Cotton Full Sleeve Kurta with Dhoti- Yellow,boys,productimages/DW20DK18YW-4.JPG,"12-(3-6 Months),14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years)",yellow,1,TRUE,Front Open Cotton Full Sleeve Kurta with Dhoti- Yellow,45,60,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Leheriya Dhoti - Yellow,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
61,variable,SS21LC12YL,Block Print Cold Shoulder Lehenga Choli- Yellow,girls,productimages/SS21LC12YL-1.JPG,"12-(1-2 Years),15-(2-3 Years),21-(4-5 Years),27-(6-7 Years)",yellow,1,TRUE,Block Print Cold Shoulder Lehenga Choli- Yellow,45,60,,TRUE,products-page,BownBee Block Print Cold Shoulder Half Sleeves Choli With Leheriya Lehenga - Yellow,Cotton,Half sleeves,Off Shoulder,Woven,Single,Dryclean,Sibling,Elastic,Regular
28,variable,DW20DK18RD,Front Open Cotton Full Sleeve Kurta with Dhoti- Red,boys,productimages/DW20DK18RD-4.JPG,"12-(3-6 Months),14-(6-12 Months),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years)",red,1,TRUE,Front Open Cotton Full Sleeve Kurta with Dhoti- Red,45,60,,TRUE,products-page,BownBee Full Sleeves Solid Color Kurta With Leheriya Dhoti - Red,Cotton,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Sibling,Elastic,Regular
67,variable,DW20LC13BL,Block Print Front Open Cotton Skirt Top-Blue,girls,productimages/DW20LC13BL-6.JPG,"8-(3-6 Months),10-(6-12 Months),15-(2-3 Years),18-(3-4 Years),21-(4-5 Years),24-(5-6 Years)",blue,1,TRUE,Block Print Front Open Cotton Skirt Top-Blue,45,60,,TRUE,products-page,Bownbee Block Print Front Open Half Sleeves Choli With Ghagra - Blue Red,Cotton,Half sleeves,Round Neck,Woven,Single,Dryclean,Sibling,Elastic,Regular
22,variable,NV19KD16BLK,Embroidered Sleeveless Kedia Dhoti set- Black,boys,productimages/NV19KD16BLK-4.JPG,"14-(2-3 Years),16-(3-4 Years),18-(4-5 Years)",black,1,TRUE,Embroidered Sleeveless Kedia Dhoti set- Black,45,60,,TRUE,products-page,Bownbee Embroidered Sleeveless Kedia & Dhoti Set With Cap - Black,Cotton,Sleeveless,Collar,Woven,With Dhoti Pants,Dryclean,Sibling,Elastic,Regular
56,variable,NV19LC14BK,Rayon Chaniya Choli - Black,girls,productimages/NV19LC14BK-1.JPG,"12-(6-12 Months),15-(1-2Years),18-(2-3Years),21-(3-4Years)",black,1,TRUE,Rayon Chaniya Choli - Black,45,60,,TRUE,products-page,Bownbee Motif Embroidery Half Sleeves Choli With Dupatta & Lehenga Set - Black,Cotton,Sleeveless,Round,Woven,With Lehenga,Dryclean,Sibling,Elastic,Regular
21,variable,NV20KD13RD,Embroidery Sleeveless Kedia Dhoti- Red,boys,productimages/NV20KD13RD-2.JPG,"14-(2-3 Years),16-(3-4 Years),18-(4-5 Years)",red,1,TRUE,Embroidery Sleeveless Kedia Dhoti- Red,45,60,,TRUE,products-page,Bownbee Bandhani Print & Embroidered Sleeveless Kedia Set - Red,Cotton,Sleeveless,V neck,Woven,Kurta Dhoti,Dryclean,Sibling,Elastic,Regular
58,variable,NV20LC10RD,Mirror Embroidery Chaniya Choli- Red,girls,productimages/NV20LC10RD-3.JPG,"12-(6-12 Months),15-(1-2 Years),18-(2-3 Years),21-(3-4 Years),24-(4-5 Years)",red,1,TRUE,Mirror Embroidery Chaniya Choli- Red,45,60,,TRUE,products-page,BownBee Short Sleeves Mirror Work Kacchi Style Choli With Lehenga & Dupatta - Red,Cotton,Sleeveless,Halter Neck,Woven,With Dupatta,Dryclean,Sibling,Elastic,Regular
35,variable,DW20PV01RD,Half Sleeve South Indian Pavda Pattu Lehenga- Red,girls,productimages/DW20PV01RD-2.JPG,"18-(6-12 Months),20-(1-2 Years),22-(2-3 Years),24-(4-5 Years),26-(5-6 Years),28-(6-7 Years),30-(8-9 Years),32-(10-11 Years)",red,1,TRUE,Half Sleeve South Indian Pavda Pattu Lehenga- Red,45,60,,TRUE,products-page,BownBee Short Sleeves Motif Print Pavda Pattu Lehenga With Choli - Red Green,Silk Blend,Sleeveless,Round Neck,Woven,With Dupatta,Dryclean,Ethnic,Elastic,Regular
36,variable,PG20PV01PR,Half Sleeve South Indian Pavda Pattu Pink Lehenga- Pink,girls,productimages/PG20PV01PR-1.JPG,"18-(6-12 Months),20-(1-2 Years),22-(2-3 Years),24-(4-5 Years),26-(5-6 Years),28-(6-7 Years),30-(8-9 Years),32-(10-11 Years)",pink,1,TRUE,Half Sleeve South Indian Pavda Pattu Lehenga- Pink,45,60,,TRUE,products-page,BownBee Short Sleeves Flower Design Pavda Pattu Lehenga - Pink,Silk Blend,Half Sleeves,Round,Woven,With Lehenga,Dryclean,Ethnic,Elastic,Regular
37,variable,DW20IW16PI,Pure Cotton Full Sleeve Front Open Angrakha-Pink,girls,productimages/DW20IW16PI-2.JPG,"16-(1-2 Years),18-(2-3 Years),22-(4-5 Years)",pink,1,TRUE,Pure Cotton Full Sleeve Front Open Angrakha-Pink,45,60,,TRUE,products-page,BownBee Full Sleeves Gotta Patti Work Top With Dhoti - Red Green,Cotton,Full Sleeves,V neck,Woven,Single,Dryclean,Ethnic,Elastic,Regular
38,variable,DW20LC14WH,Jacquard Top with Net Lehenga-White,girls,productimages/DW20LC14WH-5.JPG,"14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),26-(6-7 Years),30-(8-9 Years),34-(10-11 Years),36-(12-13 Years)",white,1,TRUE,Jacquard Top with Net Lehenga-White,55,70,,TRUE,products-page,BownBee Half Sleeves Motif Pattern Choli With Lehenga & Dupatta - Golden Red,Jacquard,Half sleeves,Round Neck,Woven,Single,Dryclean,Ethnic,Elastic,Regular
39,variable,DW20LC14OR,Jacquard Top with Net Lehenga-Orange,girls,productimages/DW20LC14OR.JPG,"14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),26-(6-7 Years),30-(8-9 Years),34-(10-11 Years)",orange,1,TRUE,Jacquard Top with Net Lehenga-Orange,55,70,,TRUE,products-page,BownBee Half Sleeves Motif Pattern Choli With Lehenga & Dupatta - Orange Blue,Jacquard,Half sleeves,Round Neck,Woven,Single,Dryclean,Ethnic,Elastic,Regular
